Name,Price,Producer,Length,Slots,8-Pin Connectors,6-Pin Connectors,HDMI,DisplayPort,DVI,Boost Clock,Vram,Memory Clock,TDP
MSI GeForce RTX 3060 Aero ITX 12G OC,$394.96,MSI,172 mm,2.0,1,0,1,3,0,MHz,12 GB,15000 MHz,170 W
ASRock Radeon RX 7700 XT Phantom Gaming 12GO,$499.61,ASRock,328 mm,2.5,2,0,1,3,0,2599 MHz,12 GB,18000 MHz,245 W
MSI GeForce RTX 3080 Ti Gaming X Trio,$1301.48,MSI,324 mm,2.75,3,0,1,3,0,1770 MHz,12 GB,19000 MHz,350 W
Gigabyte GeForce RTX 3080 Ti Eagle OC 12G LHR,$1305.67,Gigabyte,320 mm,2.7,2,0,2,3,0,1680 MHz,12 GB,19000 MHz,320 W
MSI GeForce RTX 3080 Ventus 3X Plus 12G OC LHR,$942.98,MSI,305 mm,2.5,2,0,1,3,0,MHz,12 GB,19000 MHz,390 W
MSI GeForce RTX 3080 Gaming Z Trio 12GB LHR,$993.76,MSI,323 mm,2.5,3,0,1,3,0,MHz,12 GB,19000 MHz,390 W
MSI GeForce RTX 4070 Ventus 3X 12G OC,$609.31,MSI,308 mm,2.25,1,0,1,3,0,2505 MHz,12 GB,21000 MHz,200 W
GIGABYTE GeForce RTX 4070 Gaming OC,$629.62,Gigabyte,300 mm,3.0,0,0,1,3,0,2565 MHz,12 GB,21000 MHz,200 W
MSI GeForce RTX 3060 Ventus 2X,$290.14,MSI,235 mm,2.0,1,0,1,3,0,1807 MHz,12 GB,7500 MHz,170 W
MSI GeForce RTX 3060 Ventus 3X OC,$290.14,MSI,316 mm,2.0,1,0,1,3,0,1807 MHz,12 GB,7500 MHz,170 W
ZOTAC GAMING GeForce RTX 3060 Twin Edge OC,$340.92,ZOTAC,225 mm,2.0,1,0,1,3,0,1807 MHz,12 GB,7500 MHz,170 W
MSI GeForce RTX 3060 Gaming X,$380.81,MSI,276 mm,2.5,1,1,1,3,0,1837 MHz,12 GB,7500 MHz,170 W
Gigabyte Radeon RX 6700 XT Eagle,$454.3,Gigabyte,282 mm,2.0,1,1,2,2,0,2581 MHz,12 GB,8000 MHz,230 W
MSI Radeon RX 6700 XT Gaming X,$528.28,MSI,279 mm,3.0,2,0,1,3,0,MHz,12 GB,8000 MHz,230 W
ASUS Radeon RX 6700 XT TUF O12G,$768.16,ASUS,322 mm,3.0,1,1,1,3,0,2622 MHz,12 GB,8000 MHz,230 W
Gigabyte Radeon RX 6700 XT Gaming OC,$948.74,Gigabyte,281 mm,2.5,1,1,2,2,0,2622 MHz,12 GB,8000 MHz,230 W
ASRock Radeon RX 7800 XT Challenger 16GO,$547.11,ASRock,267 mm,2.5,2,0,1,3,0,2475 MHz,16 GB,19500 MHz,263 W
PowerColor Radeon VII,$678.18,PowerColor,280 mm,2.0,2,0,1,3,0,1750 MHz,16 GB,2000 MHz,300 W
Sapphire Radeon VII,$678.22,Sapphire,280 mm,2.0,2,0,1,1,0,1750 MHz,16 GB,2000 MHz,300 W
Gigabyte Radeon VII,$741.99,Gigabyte,280 mm,2.0,2,0,1,3,0,1750 MHz,16 GB,2000 MHz,300 W
GIGABYTE GeForce RTX 4080 Eagle OC,$1160.59,Gigabyte,342 mm,3.0,0,0,1,3,0,2520 MHz,16 GB,22400 MHz,320 W
PNY GeForce RTX 4080 XLR8 Gaming VERTO Edition,$1175.1,PNY,332 mm,3.5,0,0,1,3,0,2505 MHz,16 GB,22400 MHz,320 W
PNY GeForce RTX 4080 XLR8 Gaming VERTO OC Edition,$1196.86,PNY,332 mm,3.5,0,0,1,3,0,2550 MHz,16 GB,22400 MHz,320 W
PNY GeForce RTX 4080 XLR8 Gaming VERTO Triple Fan Edition,$1232.25,PNY,336.9 mm,3.0,0,0,1,3,0,2505 MHz,16 GB,22400 MHz,320 W
MSI GeForce RTX 4080 Suprim X,$1436.24,MSI,336 mm,3.5,0,0,1,3,0,MHz,16 GB,22400 MHz,320 W
PNY GeForce RTX 3090 XLR8 Gaming EPIC-X RGB,$1717.88,PNY,294 mm,2.75,2,0,1,3,0,MHz,24 GB,19500 MHz,350 W
Gigabyte GeForce GTX 1650 D6 OC,$168.28,Gigabyte,172 mm,2.0,0,1,1,1,1,1635 MHz,4 GB,12000 MHz,75 W
EVGA GeForce GTX 1650 Super SC Ultra,$309.7,EVGA,202.1 mm,2.0,0,1,1,1,1,1755 MHz,4 GB,12000 MHz,100 W
MSI GeForce GTX 1650 Ventus XS OCV1,$115.32,MSI,179 mm,2.0,0,0,2,1,0,1620 MHz,4 GB,8000 MHz,75 W
"Gigabyte GeForce GTX 1650 OC 4G, 4096 MB GDDR5",$163.2,Gigabyte,191 mm,2.0,0,0,1,1,0,1710 MHz,4 GB,8000 MHz,75 W
"Gigabyte GeForce GTX 1650 WindForce OC 4G, 4096 MB GDDR5",$174.08,Gigabyte,229 mm,2.0,0,0,1,1,0,1785 MHz,4 GB,8000 MHz,90 W
"ZOTAC GAMING GeForce GTX 1650 OC, 4096 MB GDDR5",$176.76,ZOTAC,151 mm,2.0,0,0,1,1,1,1695 MHz,4 GB,8000 MHz,75 W
"MSI GeForce GTX 1650 Gaming X 4G, 4096 MB GDDR5",$180.07,MSI,259 mm,2.0,0,0,1,1,0,1860 MHz,4 GB,8000 MHz,75 W
"ASUS GeForce GTX 1650 Phoenix O4G, 4096 MB GDDR5",$187.86,ASUS,190 mm,2.0,0,0,1,1,1,1710 MHz,4 GB,8000 MHz,75 W
"ASUS GeForce GTX 1650 Dual O4G, 4096 MB GDDR5",$203.82,ASUS,204 mm,2.0,0,0,1,1,1,1755 MHz,4 GB,8000 MHz,75 W
ZOTAC GAMING GeForce GTX 1660 Ti,$265.48,ZOTAC,145 mm,2.0,1,0,1,1,0,1770 MHz,6 GB,12000 MHz,120 W
MSI GeForce GTX 1660 Ti Ventus XS 6G,$283.96,MSI,204 mm,2.0,1,0,1,3,0,1830 MHz,6 GB,12000 MHz,120 W
EVGA GeForce GTX 1660 Ti XC Black Gaming,$285.97,EVGA,189.89 mm,3.0,1,0,1,1,1,1770 MHz,6 GB,12000 MHz,130 W
Gigabyte GeForce GTX 1660 Ti OC 6G,$288.69,Gigabyte,225.65 mm,2.0,1,0,1,1,0,1800 MHz,6 GB,12000 MHz,120 W
Gigabyte GeForce GTX 1660 Ti Gaming OC 6G,$295.86,Gigabyte,280 mm,2.0,1,0,1,1,0,1860 MHz,6 GB,12000 MHz,120 W
Gigabyte GeForce GTX 1660 Ti WindForce OC 6G,$298.84,Gigabyte,264.9 mm,2.0,1,0,1,1,0,1845 MHz,6 GB,12000 MHz,120 W
ASUS GeForce GTX 1660 Ti Dual O6G,$299.08,ASUS,215 mm,2.5,1,0,1,1,1,1800 MHz,6 GB,12000 MHz,120 W
Gigabyte GeForce GTX 1660 Ti Mini ITX OC 6G,$302.12,Gigabyte,170 mm,2.0,1,0,1,1,0,1785 MHz,6 GB,12000 MHz,120 W
MSI GeForce GTX 1660 Ti Gaming X 6G,$303.95,MSI,247 mm,,1,0,1,1,0,1875 MHz,6 GB,12000 MHz,130 W
ZOTAC GAMING GeForce GTX 1660 Ti AMP!,$322.67,ZOTAC,209.6 mm,2.0,1,0,1,1,0,1860 MHz,6 GB,12000 MHz,130 W
Gigabyte Aorus GeForce GTX 1660 Ti 6G,$332.16,Gigabyte,280 mm,,1,0,1,1,0,1890 MHz,6 GB,12000 MHz,120 W
EVGA GeForce GTX 1660 Ti XC Gaming,$336.85,EVGA,189.89 mm,3.0,1,0,1,1,1,1845 MHz,6 GB,12000 MHz,130 W
ASUS GeForce RTX 2060 Dual O6G EVO,$224.13,ASUS,242 mm,2.5,1,0,2,1,1,1755 MHz,6 GB,14000 MHz,160 W
MSI GeForce GTX 1660 Super Ventus XS OC,$256.77,MSI,204 mm,2.0,1,0,1,3,0,1815 MHz,6 GB,14000 MHz,125 W
Gigabyte GeForce GTX 1660 Super OC,$267.47,Gigabyte,224 mm,2.0,1,0,1,3,0,MHz,6 GB,14000 MHz,125 W
